dataset,dr_method,target_dim,classifier,accuracy_mean,accuracy_std,total_time,n_samples,n_features,n_classes
Iris,PCA,2,knn,0.8666666666666666,0.05163977794943222,0.08702826499938965,150,4,3
Iris,PCA,3,knn,0.8200000000000001,0.04988876515698591,0.03521466255187988,150,4,3
Iris,LDA,2,knn,0.7733333333333333,0.09752492558885198,0.03520774841308594,150,4,3
Iris,LDA,3,knn,0.82,0.09333333333333334,0.0361180305480957,150,4,3
Iris,MDS,2,knn,0.7733333333333333,0.11623730516108464,0.03457975387573242,150,4,3
Iris,MDS,3,knn,0.9199999999999999,0.04521553322083511,0.035820722579956055,150,4,3
Iris,Isomap,2,knn,0.8133333333333335,0.1359738536958076,0.038594961166381836,150,4,3
Iris,Isomap,3,knn,0.8266666666666668,0.1356465996625054,0.03875923156738281,150,4,3
Iris,LLE,2,knn,0.8266666666666668,0.0679869268479038,0.03562140464782715,150,4,3
Iris,LLE,3,knn,0.7466666666666667,0.08055363982396384,0.0363917350769043,150,4,3
Iris,KernelPCA,2,knn,0.8333333333333334,0.105409255338946,0.036511898040771484,150,4,3
Iris,KernelPCA,3,knn,0.8333333333333334,0.0760116950066092,0.035358428955078125,150,4,3
Iris,Autoencoder,2,knn,0.76,0.10198039027185572,0.03424239158630371,150,4,3
Iris,Autoencoder,3,knn,0.8533333333333333,0.07483314773547885,0.03667950630187988,150,4,3
Wine,PCA,2,knn,0.8322222222222223,0.08171844194607622,0.08640742301940918,178,13,3
Wine,PCA,3,knn,0.7538095238095238,0.10885510142651084,0.04888153076171875,178,13,3
Wine,LDA,2,knn,0.7980952380952381,0.03046047875421536,0.04810690879821777,178,13,3
Wine,LDA,3,knn,0.7749206349206349,0.07147899454824201,0.045540571212768555,178,13,3
Wine,MDS,2,knn,0.8033333333333333,0.1284679183565422,0.04605364799499512,178,13,3
Wine,MDS,3,knn,0.8433333333333334,0.07071174705506675,0.04497098922729492,178,13,3
Wine,Isomap,2,knn,0.8036507936507936,0.07697283504159856,0.046591997146606445,178,13,3
Wine,Isomap,3,knn,0.7922222222222223,0.02757705254664636,0.04598283767700195,178,13,3
Wine,LLE,2,knn,0.8541269841269841,0.03164428138254501,0.04633164405822754,178,13,3
Wine,LLE,3,knn,0.8703174603174603,0.06650320095274699,0.044936180114746094,178,13,3
Wine,KernelPCA,2,knn,0.7977777777777778,0.027227659228433745,0.04649925231933594,178,13,3
Wine,KernelPCA,3,knn,0.7238095238095238,0.07356761860650789,0.04603171348571777,178,13,3
Wine,Autoencoder,2,knn,0.7641269841269841,0.04813320309946936,0.04683947563171387,178,13,3
Wine,Autoencoder,3,knn,0.7915873015873016,0.0695984233957827,0.04406619071960449,178,13,3
