Dataset,DR_Method,Classifier,Avg_Accuracy,Avg_Sensitivity,Avg_Specificity,Avg_Time,Best_Accuracy,Best_Dimension,Dimensions_Tested
Iris,PCA,KNN,0.8116666666666668,0.8116666666666665,0.9058333333333333,0.00039183060328165686,0.8600000000000001,1,4
Iris,PCA,simKNN,0.8133333333333334,0.8133333333333334,0.9066666666666667,0.0003477617104848226,0.8600000000000001,2,4
Iris,PCA,SVM,0.8633333333333335,0.8633333333333333,0.9316666666666666,0.00037834485371907554,0.8866666666666667,3,4
Iris,LDA,KNN,0.8566666666666668,0.8566666666666667,0.9283333333333335,0.00043335398038228353,0.9133333333333334,1,4
Iris,LDA,simKNN,0.8433333333333333,0.8433333333333334,0.9216666666666667,0.0003739702701568603,0.8799999999999999,1,4
Iris,LDA,SVM,0.8633333333333333,0.8633333333333333,0.9316666666666668,0.000407020648320516,0.8933333333333332,1,4
Iris,MDS,KNN,0.8483333333333334,0.8483333333333334,0.9241666666666668,0.005379674434661865,0.9,3,4
Iris,MDS,simKNN,0.8033333333333335,0.8033333333333335,0.9016666666666667,0.005326511462529501,0.8333333333333334,3,4
Iris,MDS,SVM,0.8883333333333333,0.8883333333333333,0.9441666666666666,0.005338551998138428,0.9066666666666666,4,4
Iris,Isomap,KNN,0.8216666666666667,0.8216666666666667,0.9108333333333334,0.001180495818456014,0.8600000000000001,3,4
Iris,Isomap,simKNN,0.8099999999999999,0.8099999999999999,0.905,0.0011146446069081623,0.8266666666666665,4,4
Iris,Isomap,SVM,0.855,0.855,0.9275000000000001,0.001157149871190389,0.8933333333333333,4,4
Iris,LLE,KNN,0.8400000000000001,0.8400000000000001,0.9199999999999999,0.0017089732487996418,0.8600000000000001,4,4
Iris,LLE,simKNN,0.835,0.835,0.9175,0.0015966208775838216,0.8466666666666667,2,4
Iris,LLE,SVM,0.8716666666666667,0.8716666666666668,0.9358333333333334,0.0016222063700358075,0.8933333333333332,4,4
Iris,KernelPCA,KNN,0.8383333333333334,0.8383333333333334,0.9191666666666666,0.0008495084444681803,0.8800000000000001,4,4
Iris,KernelPCA,simKNN,0.8583333333333334,0.8583333333333334,0.9291666666666667,0.0007720541954040527,0.9200000000000002,4,4
Iris,KernelPCA,SVM,0.8616666666666668,0.8616666666666666,0.9308333333333334,0.0008091219266255698,0.8933333333333333,4,4
Iris,Autoencoder,KNN,0.615,0.615,0.6824999999999999,0.0029568890730539955,0.8333333333333334,3,4
Iris,Autoencoder,simKNN,0.6316666666666666,0.6316666666666667,0.6908333333333334,0.002942858934402466,0.8666666666666666,2,4
Iris,Autoencoder,SVM,0.6633333333333333,0.6633333333333333,0.7066666666666668,0.002934009234110514,0.9066666666666666,4,4
