Dataset,DR_Method,Classifier,Avg_Accuracy,Avg_Sensitivity,Avg_Specificity,Avg_Time,Best_Accuracy,Best_Dimension,Dimensions_Tested
Wine,PCA,KNN,0.8060130718954248,0.8091111111111111,0.9018741258741259,0.0005134522525313634,0.8209150326797385,10,5
Wine,PCA,simKNN,0.808954248366013,0.8118253968253969,0.9045477855477856,0.000459139019835229,0.8601307189542485,1,5
Wine,PCA,SVM,0.9203921568627452,0.9200873015873017,0.9586568246568247,0.0004885963209314283,0.9326797385620915,7,5
Wine,LDA,KNN,0.8160784313725491,0.8227380952380952,0.9078500388500388,0.0005153624216715494,0.8313725490196078,4,5
Wine,LDA,simKNN,0.8294117647058823,0.8338015873015874,0.9141025641025641,0.000438034144881504,0.8490196078431372,1,5
Wine,LDA,SVM,0.9226143790849675,0.922611111111111,0.9603146853146853,0.000500336534836713,0.9441176470588235,7,5
Wine,MDS,KNN,0.8187581699346407,0.826873015873016,0.9089842009842009,0.012307074272554685,0.8434640522875817,7,5
Wine,MDS,simKNN,0.7887581699346405,0.7935476190476191,0.8945705775705776,0.012085815286324696,0.8366013071895425,4,5
Wine,MDS,SVM,0.8990196078431373,0.8973650793650794,0.9474403004403005,0.012147651201759289,0.9215686274509803,7,5
Wine,Isomap,KNN,0.8113725490196078,0.8172380952380951,0.9061364931364931,0.0009158749206393372,0.8535947712418303,4,5
Wine,Isomap,simKNN,0.8004575163398695,0.8076349206349207,0.9002944832944832,0.0008355929960612377,0.8326797385620915,10,5
Wine,Isomap,SVM,0.9067973856209152,0.907404761904762,0.9520712250712249,0.0008855350500617933,0.9434640522875817,10,5
Wine,LLE,KNN,0.8239869281045753,0.8326111111111111,0.911926184926185,0.0013497137711718191,0.8705882352941178,13,5
Wine,LLE,simKNN,0.8261437908496733,0.8307619047619049,0.9134286454286453,0.0012444493349860696,0.8535947712418303,10,5
Wine,LLE,SVM,0.9194117647058825,0.9165555555555555,0.957950530950531,0.00127990114922617,0.9607843137254901,7,5
Wine,KernelPCA,KNN,0.8030065359477125,0.8089841269841269,0.9006355866355866,0.0009825136303122524,0.8205882352941177,10,5
Wine,KernelPCA,simKNN,0.8109803921568627,0.8207301587301586,0.9061077441077441,0.000930834907332277,0.8643790849673202,13,5
Wine,KernelPCA,SVM,0.9262745098039217,0.92534126984127,0.9614980574980576,0.0009630528929965949,0.95,1,5
Wine,Autoencoder,KNN,0.6579738562091503,0.6621666666666667,0.7286203056203056,0.007374979327706729,0.8549019607843137,10,5
Wine,Autoencoder,simKNN,0.6524836601307189,0.6559126984126984,0.7261789691789693,0.007378176957174064,0.8467320261437908,10,5
Wine,Autoencoder,SVM,0.7216339869281045,0.7194206349206349,0.7598119658119659,0.007431892273472804,0.927124183006536,7,5
